,epoch,train_loss,train_acc,val_loss,val_acc
0,1,0.6930237900879648,0.5051359953703703,0.6862507520685097,0.5970535312640576
1,2,0.6703050699498918,0.6104118441358025,0.656983206039391,0.6239316239316239
2,3,0.657242736560695,0.6244212962962963,0.6500730651003039,0.6297795771479981
3,4,0.6512955478220074,0.6307629243827161,0.6459825427962271,0.6306792622582096
4,5,0.648283442137418,0.6304976851851852,0.6450801076676681,0.6273054430949168
5,6,0.6462419675548136,0.6350308641975309,0.6448943459982278,0.624212775528565
6,7,0.6460222661219261,0.6358989197530864,0.6394082658525743,0.6348403058929375
7,8,0.6456578410701987,0.6343557098765432,0.6403964729765971,0.6332096266306793
8,9,0.6439574286111711,0.6330295138888888,0.6366662808597169,0.6384952766531714
9,10,0.6423220434398563,0.6363329475308642,0.6360663537554413,0.641531713900135
10,11,0.6412415089384641,0.6399739583333334,0.6389123049342198,0.6374831309041835
11,12,0.6399097149892722,0.6385030864197531,0.6377495295069424,0.632366171839856
12,13,0.640467325616398,0.6383584104938271,0.6331193294816869,0.6429937022042285
13,14,0.6383753110091259,0.642578125,0.6398121942231851,0.6345591542959964
14,15,0.6385479266582815,0.6422887731481481,0.6320857150941832,0.6448493027440396
15,16,0.6372569492201746,0.6429398148148148,0.6369008792717608,0.6404633378317589
16,17,0.6367410610395449,0.6443624614197531,0.6314630205975531,0.645748987854251
17,18,0.6372511497480265,0.6447241512345679,0.63076086758602,0.645242914979757
18,19,0.6365995287987185,0.6454234182098766,0.6305952055519677,0.6461426000899685
19,20,0.635079432071911,0.6442660108024691,0.6315798932402401,0.6468735942420153
20,21,0.6350025528650961,0.6466772762345679,0.6331862535929283,0.6411943319838057
21,22,0.6339127841968963,0.6485821759259259,0.630100333202652,0.6478857399910032
22,23,0.6327942082727397,0.6456404320987654,0.6310524162386003,0.644961763382816
23,24,0.6337855886208055,0.6466531635802469,0.6288355589985473,0.64546783625731
24,25,0.6315497959975476,0.6490644290123457,0.6286193765180367,0.6472672064777328
25,26,0.632545420187123,0.6476176697530864,0.6299082717271308,0.6472109761583446
26,27,0.631285607929767,0.6508969907407407,0.6307133242615268,0.6435560053981106
27,28,0.6310741989930839,0.6500771604938271,0.6286444053744283,0.6479419703103914
28,29,0.6300905116684274,0.6519579475308642,0.6305728433264091,0.6428250112460638
29,30,0.628475633714302,0.6538628472222222,0.6272038494848851,0.6503036437246964
30,31,0.6284115020139718,0.6538387345679012,0.6270597021803896,0.6502474134053081
31,32,0.6279026639222363,0.6535011574074074,0.6272462043095107,0.6498538011695907
32,33,0.627503420766673,0.6579861111111112,0.6270546488969968,0.6492352676563203
33,34,0.6292640904861467,0.6554060570987654,0.6268033311809981,0.6503598740440846
34,35,0.6275183375648878,0.6538628472222222,0.6267327729024386,0.6502474134053081
35,36,0.626846593471221,0.6566840277777778,0.6269373022861112,0.6508097165991903
36,37,0.6281782445256356,0.6545138888888888,0.6266242695777093,0.650472334682861
37,38,0.6261264727577384,0.6554542824074074,0.6267297857525217,0.6511470985155196
38,39,0.6270266114561646,0.6566116898148148,0.6268013741484216,0.6509221772379667
39,40,0.6278006369822923,0.6555989583333334,0.626875161749256,0.6506410256410257
40,41,0.6280492729978797,0.6548514660493827,0.6264917974369085,0.6508097165991903
41,42,0.6268879639007795,0.6569492669753086,0.6264750510253082,0.6501349527665317
42,43,0.627565384623997,0.6552372685185185,0.6266645315902167,0.6506410256410257
43,44,0.6273052317354783,0.6553819444444444,0.6264733758210814,0.6505285650022492
44,45,0.6262696251319146,0.6577932098765432,0.6264529812727434,0.6505285650022492
45,46,0.6273559850215176,0.6566840277777778,0.6264164080182228,0.6501911830859199
46,47,0.6273861751420262,0.6571421682098766,0.6264258461978808,0.6501911830859199
47,48,0.6279926286941325,0.6552372685185185,0.6263944115715954,0.6503598740440846
48,49,0.6257814499147144,0.6566116898148148,0.6264062878037701,0.6499100314889789
49,50,0.6266350761331894,0.6580102237654321,0.6263646450977952,0.6506972559604138
50,51,0.6262365913501492,0.6566840277777778,0.6263660913751408,0.6506410256410257
51,52,0.626646173864971,0.6568045910493827,0.6263655896826044,0.6506972559604138
52,53,0.6260449181046382,0.6585889274691358,0.6263678508517017,0.6506972559604138
53,54,0.6265532885574632,0.6578414351851852,0.6263693335407016,0.6503598740440846
54,55,0.6271307939364587,0.6552854938271605,0.6263684273784996,0.650472334682861
55,56,0.6257991954730249,0.658203125,0.6263704335855783,0.6503598740440846
56,57,0.6263229275283254,0.6583236882716049,0.6263706211136421,0.6504161043634727
57,58,0.6264930901428064,0.6546103395061729,0.6263719691492339,0.6504161043634727
